date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:56	19867/19867	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2005:06:28%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/login-2.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/login-2.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:56	20726/20726	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2005:08:09%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/register-2.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/register-2.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:56	27668/27668	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2005:08:12%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/step.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/step.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:57	19238/19238	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2005:05:58%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/error-404.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/error-404.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:57	5168/5168	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jan%202022%2006:05:29%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/coming-soon.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/coming-soon.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:57	22399/22399	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2005:07:55%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/terms-conditions.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/terms-conditions.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:58	22666/22666	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2005:06:20%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/privacy-policy.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/privacy-policy.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:58	18674/18674	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2004:54:46%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/become-a-member.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/become-a-member.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:59	29437/29437	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2004:57:50%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-left.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-left.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:59	29462/29462	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2004:58:10%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-right.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-right.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:20:00	25165/25165	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2004:56:20%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-fullwidth.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-fullwidth.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:20:00	25661/25661	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2004:57:44%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-masonry-2-columns.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-masonry-2-columns.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:20:00	25560/25560	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2005:54:20%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-masonry-3-columns.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-masonry-3-columns.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:20:00	25478/25478	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2004:58:15%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-masonry-fullwidth.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-masonry-fullwidth.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:20:01	31989/31989	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2004:58:05%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-singal-left.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-singal-left.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:20:01	32004/32004	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2004:57:55%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-singal-right.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-singal-right.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:20:01	27720/27720	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2004:58:00%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-singal-fullwidth.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/blog-singal-fullwidth.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
